Sample,X(ms) [23.05.2017 17:24:33 881 UTC],"I_encoder"[%ID1000],"M_beam_PID_manual_control"[%M4.3]
9862,11640.455760,2271,1
9863,11642.016520,2272,1
9864,11642.964500,2273,1
9865,11644.714880,2274,1
9866,11645.665100,2275,1
9867,11647.660660,2277,1
9868,11649.396620,2277,1
9869,11650.388740,2279,1
9870,11651.917060,2280,1
9871,11652.955940,2281,1
9872,11654.682500,2282,1
9873,11655.646100,2283,1
9874,11657.342840,2284,1
9875,11658.300140,2285,1
9876,11659.773200,2286,1
9877,11660.740900,2287,1
9878,11662.472660,2288,1
9879,11663.480640,2289,1
9880,11664.989160,2290,1
9881,11665.946480,2291,1
9882,11667.626340,2292,1
9883,11668.597600,2293,1
9884,11670.259440,2294,1
9885,11671.080500,2295,1
9886,11672.712820,2296,1
9887,11673.682260,2297,1
9888,11675.405980,2298,1
9889,11676.380360,2299,1
9890,11677.855040,2300,1
9891,11678.824320,2301,1
9892,11680.546180,2302,1
9893,11681.548600,2303,1
9894,11683.030080,2304,1
9895,11683.991940,2306,1
9896,11685.660700,2306,1
9897,11686.628080,2307,1
9898,11688.311900,2308,1
9899,11689.275980,2310,1
9900,11690.823000,2310,1
9901,11691.793380,2312,1
9902,11693.503200,2312,1
9903,11694.538560,2314,1
9904,11696.036960,2314,1
9905,11697.025280,2316,1
9906,11698.710840,2317,1
9907,11699.676960,2318,1
9908,11701.416940,2319,1
9909,11702.399080,2320,1
9910,11703.889900,2321,1
9911,11704.901820,2322,1
9912,11706.576960,2323,1
9913,11707.542540,2324,1
9914,11709.015520,2325,1
9915,11709.980380,2326,1
9916,11711.656320,2327,1
9917,11712.622300,2328,1
9918,11714.345120,2329,1
9919,11715.319340,2330,1
9920,11716.795560,2331,1
9921,11717.768460,2332,1
9922,11719.507540,2333,1
9923,11720.488840,2334,1
9924,11721.976880,2335,1
9925,11722.965740,2336,1
9926,11724.682880,2337,1
9927,11725.650260,2338,1
9928,11727.376640,2339,1
9929,11728.394360,2340,1
9930,11729.871500,2341,1
9931,11730.840080,2343,1
9932,11732.584320,2343,1
9933,11733.581180,2345,1
9934,11735.258560,2345,1
9935,11736.063120,2347,1
9936,11737.721980,2347,1
9937,11739.062560,2349,0
9938,11740.786940,2350,0
9939,11741.730140,2351,0
9940,11743.398460,2352,0
9941,11744.953840,2353,0
9942,11745.956400,2354,0
9943,11747.938740,2356,0
9944,11748.920600,2357,0
9945,11750.598260,2358,0
9946,11751.581400,2359,0
9947,11753.303040,2359,0
9948,11754.391520,2361,0
9949,11755.872660,2362,0
9950,11756.838600,2363,0
9951,11758.544040,2363,0
9952,11759.526180,2364,0
9953,11761.019540,2365,0
9954,11761.988380,2366,0
9955,11763.646400,2367,0
9956,11764.648960,2367,0
9957,11766.329160,2368,0
9958,11767.300320,2369,0
9959,11768.777720,2370,0
9960,11769.744340,2370,0
9961,11771.497300,2371,0
9962,11772.518920,2372,0
9963,11774.012640,2372,0
9964,11775.028160,2373,0
9965,11776.723060,2373,0
9966,11777.753760,2374,0
9967,11778.757280,2374,0
9968,11779.771780,2375,0
9969,11780.844780,2375,0
9970,11781.871340,2376,0
9971,11782.873020,2376,0
9972,11784.733940,2377,0
9973,11785.687280,2377,0
9974,11787.306900,2378,0
9975,11788.085960,2378,0
9976,11789.773100,2379,0
9977,11790.744740,2379,0
9978,11792.372920,2379,0
9979,11793.325680,2380,0
9980,11794.840460,2380,0
9981,11795.794260,2380,0
9982,11797.364300,2381,0
9983,11798.527120,2381,0
9984,11799.999040,2381,0
9985,11800.959560,2382,0
9986,11802.457120,2382,0
9987,11803.693360,2382,0
9988,11805.352280,2383,0
9989,11806.312180,2383,0
9990,11807.788560,2383,0
9991,11808.750060,2384,0
9992,11810.441220,2384,0
9993,11811.405960,2384,0
9994,11812.883520,2384,0
9995,11813.839040,2385,0
9996,11815.574540,2385,0
9997,11816.541080,2385,0
9998,11818.008440,2385,0
9999,11819.008280,2385,0
10000,11820.661220,2386,0
10001,11821.634220,2386,0
10002,11823.310100,2386,0
10003,11824.326180,2386,0
10004,11825.811360,2386,0
10005,11826.778260,2386,0
10006,11828.546860,2387,0
10007,11829.608600,2387,0
10008,11831.084660,2387,0
10009,11832.048580,2387,0
10010,11833.731740,2387,0
10011,11834.725960,2387,0
10012,11836.405180,2387,0
10013,11837.359340,2388,0
10014,11838.819460,2388,0
10015,11839.782100,2388,0
10016,11841.504780,2388,0
10017,11842.499940,2388,0
10018,11844.010240,2388,0
10019,11845.002520,2388,0
10020,11846.995180,2388,0
10021,11847.970520,2388,0
10022,11849.683880,2388,0
10023,11850.632420,2389,0
10024,11852.259780,2389,0
10025,11853.033260,2389,0
10026,11854.816200,2389,0
10027,11855.841940,2389,0
10028,11857.503540,2389,0
10029,11859.037760,2389,0
10030,11860.027300,2389,0
10031,11860.957760,2389,0
10032,11862.626880,2389,0
10033,11863.558980,2389,0
10034,11865.066260,2389,0
10035,11866.009240,2389,0
10036,11867.693420,2389,0
10037,11868.662320,2389,0
10038,11870.287620,2389,0
10039,11871.069660,2389,0
10040,11872.769000,2389,0
10041,11873.708900,2389,0
10042,11875.375480,2389,0
10043,11876.336600,2389,0
10044,11877.869520,2389,0
10045,11878.816020,2389,0
10046,11880.516020,2389,0
10047,11881.512840,2390,0
10048,11882.993860,2390,0
10049,11883.944360,2390,0
10050,11885.694080,2390,0
10051,11886.655380,2390,0
10052,11888.269600,2390,0
10053,11889.074660,2390,0
10054,11890.735340,2390,0
10055,11891.677680,2390,0
10056,11893.416560,2390,0
10057,11894.501820,2390,0
10058,11895.987980,2390,0
10059,11896.939260,2390,0
10060,11898.664820,2390,0
10061,11899.626080,2390,0
10062,11901.087120,2390,0
10063,11902.060740,2390,0
10064,11903.705000,2390,0
10065,11904.698280,2390,0
10066,11906.452300,2390,0
10067,11907.439520,2390,0
