timestamp [s],angle [rad],control [V]
13.11871456,58.6849507690573,12
13.11972586,58.7058947200813,12
13.12073666,58.7268386711052,12
13.12177476,58.7477826221291,12
13.12277828,58.7477826221291,12
13.12380088,58.7687265731531,12
13.12485088,58.789670524177,12
13.12586146,58.8106144752009,12
13.12689226,58.8315584262249,12
13.12788888,58.8315584262249,12
13.1289105,58.8525023772488,12
13.12992916,58.8734463282727,12
13.13093188,58.8943902792967,12
13.1319768,58.9153342303206,12
13.13308344,58.9153342303206,12
13.134305,58.9362781813445,12
13.13532294,58.9572221323685,12
13.13694548,58.9781660833924,12
13.1379363,58.9991100344163,12
13.1395174,59.0200539854402,12
13.14051528,59.0409979364642,12
13.14205334,59.0619418874881,12
13.14303118,59.082885838512,12
13.14396772,59.103829789536,12
13.14564922,59.1247737405599,12
13.14762002,59.1457176915838,12
13.14859166,59.1876055936317,12
13.15026348,59.1876055936317,12
13.1510878,59.2294934956796,12
13.15273828,59.2504374467035,12
13.15371416,59.2713813977274,12
13.15545652,59.2923253487514,12
13.15645338,59.3132692997753,12
13.15796134,59.3342132507992,12
13.15892724,59.3551572018232,12
13.16059326,59.3761011528471,12
13.1615665,59.397045103871,12
13.16326476,59.417989054895,12
13.16453198,59.4389330059189,12
13.16601182,59.4808209079667,12
13.16697254,59.4808209079667,12
13.16867614,59.5227088100146,12
13.16963882,59.5227088100146,12
13.1712503,59.5436527610386,12
13.17208628,59.5855406630864,12
13.17370606,59.5855406630864,12
13.17470352,59.6064846141103,12
13.17644412,59.6274285651343,12
13.17752104,59.6693164671821,12
13.1790623,59.6902604182061,12
13.18002142,59.71120436923,12
13.18171972,59.7321483202539,12
13.18267144,59.7530922712779,12
13.18432834,59.7740362223018,12
13.1852625,59.7949801733257,12
13.18678558,59.8159241243497,12
13.1877327,59.8368680753736,12
13.18942576,59.8578120263975,12
13.1904136,59.8787559774215,12
13.19187142,59.8996999284454,12
13.19282422,59.9206438794693,12
13.19460418,59.9415878304932,12
13.19564704,59.9625317815172,12
13.19732736,59.9834757325411,12
13.19827914,60.0044196835651,12
13.19979638,60.025363634589,12
13.2007445,60.0463075856129,12
13.20247484,60.0672515366369,12
13.2034748,60.0881954876608,12
13.20499216,60.1091394386847,12
13.2059645,60.1300833897087,12
13.20767498,60.1719712917565,12
13.20863084,60.1929152427804,12
13.21008818,60.1929152427804,12
13.2110493,60.2348031448283,12
13.21272754,60.2348031448283,12
13.2136972,60.2557470958522,12
13.21544766,60.2766910468762,12
13.21644002,60.318578948924,12
13.2179228,60.318578948924,12
13.21891522,60.3604668509719,12
13.22062182,60.3814108019958,12
13.22158434,60.4023547530198,12
13.22306218,60.4232987040437,12
13.22401146,60.4442426550676,12
13.22573042,60.4651866060916,12
13.2266973,60.4861305571155,12
13.22837944,60.5070745081394,12
13.22935062,60.5280184591634,12
13.23084092,60.5489624101873,12
13.2318005,60.5699063612112,12
13.2335687,60.5908503122352,12
13.2345985,60.6117942632591,12
13.23608824,60.632738214283,12
13.23704996,60.6536821653069,12
13.23875742,60.6746261163309,12
13.2397148,60.6955700673548,12
13.24132042,60.7165140183787,12
13.24227146,60.7374579694027,12
13.24377524,60.7584019204266,12
13.24486074,60.7793458714505,12
13.24696976,60.8212337734984,12
13.2487529,60.8421777245223,12
13.24972278,60.8631216755463,12
13.25146724,60.8840656265702,12
13.25246406,60.9050095775941,12
13.25398354,60.9259535286181,12
13.25499454,60.946897479642,12
13.25662838,60.9678414306659,12
13.25758702,60.9887853816899,12
13.25926748,61.0097293327138,12
13.26008442,61.0516172347617,12
13.26173948,61.0516172347617,12
13.26271222,61.0935051368095,12
13.26453712,61.0935051368095,12
13.26553366,61.1353930388574,12
13.2670225,61.1353930388574,12
13.26802396,61.1772809409052,12
13.26971384,61.1982248919292,12
13.2706631,61.2191688429531,12
13.2723498,61.240112793977,12
13.27332088,61.261056745001,12
13.27484944,61.2820006960249,12
13.27582812,61.3029446470488,12
