Sample,X(ms) [24.05.2017 18:30:12 365 UTC],"I_encoder"[%ID1000],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0]
1021,1271.561500,1631,0,0
1022,1272.645060,1631,0,0
1023,1273.709200,1631,0,0
1024,1274.758640,1631,0,0
1025,1275.792660,1631,0,0
1026,1276.849540,1631,0,0
1027,1277.893940,1631,0,0
1028,1278.945860,1631,0,0
1029,1279.996680,1631,0,0
1030,1281.036980,1631,0,0
1031,1282.332320,1631,0,0
1032,1283.379380,1631,0,0
1033,1284.487360,1631,0,0
1034,1285.548820,1631,0,0
1035,1286.874540,1631,0,0
1036,1287.943920,1631,0,0
1037,1288.998880,1631,0,0
1038,1290.045040,1631,0,0
1039,1291.063960,1631,0,0
1040,1292.302220,1631,0,0
1041,1293.361700,1631,0,0
1042,1294.451340,1631,0,0
1043,1295.513420,1631,0,0
1044,1296.565220,1631,0,0
1045,1297.624520,1631,0,0
1046,1298.665000,1631,0,0
1047,1299.717080,1631,0,0
1048,1300.764320,1631,0,0
1049,1302.974640,1631,0,0
1050,1303.974020,1631,0,0
1051,1305.705940,1631,0,0
1052,1306.679940,1631,0,0
1053,1308.348560,1631,0,0
1054,1309.321640,1631,0,0
1055,1310.899360,1631,0,0
1056,1311.876500,1631,0,0
1057,1313.620340,1631,0,0
1058,1314.598360,1631,0,0
1059,1316.274960,1631,0,0
1060,1317.248520,1631,0,0
1061,1318.891680,1631,0,0
1062,1320.589020,1631,0,0
1063,1321.627380,1631,0,0
1064,1323.334780,1631,0,0
1065,1324.363500,1631,0,0
1066,1325.892280,1631,0,0
1067,1326.888100,1631,0,0
1068,1328.522040,1631,0,0
1069,1329.543220,1631,0,0
1070,1331.254260,1631,0,0
1071,1332.289740,1631,0,0
1072,1333.821820,1631,0,0
1073,1334.845260,1631,0,0
1074,1336.575600,1631,0,0
1075,1337.586840,1631,0,0
1076,1339.326960,1631,0,0
1077,1340.404880,1631,0,0
1078,1341.963300,1631,0,0
1079,1342.993940,1631,0,0
1080,1344.651980,1631,0,0
1081,1345.723340,1631,0,0
1082,1346.730620,1631,0,0
1083,1347.766320,1631,0,0
1084,1348.831400,1631,0,0
1085,1349.881580,1631,0,0
1086,1350.942340,1631,0,0
1087,1352.004320,1631,0,0
1088,1353.071200,1631,0,0
1089,1354.272800,1631,0,0
1090,1355.341340,1631,0,0
1091,1356.429960,1631,0,0
1092,1357.498200,1631,0,0
1093,1358.547700,1631,0,0
1094,1359.615580,1631,0,0
1095,1360.660940,1631,0,0
1096,1361.712940,1631,0,0
1097,1363.792760,1631,0,0
1098,1365.519100,1631,0,0
1099,1366.542840,1631,0,0
1100,1368.069180,1631,0,0
1101,1369.028260,1631,0,0
1102,1370.797940,1631,0,0
1103,1371.802600,1631,0,0
1104,1373.532880,1631,0,0
1105,1375.264820,1631,0,0
1106,1376.270400,1631,0,0
1107,1377.733820,1631,0,0
1108,1378.756140,1631,0,0
1109,1380.356520,1631,0,0
1110,1381.375340,1631,0,0
1111,1382.950160,1631,0,0
1112,1383.974680,1631,0,0
1113,1385.635840,1631,0,0
1114,1386.636440,1631,0,0
1115,1388.437200,1631,0,0
1116,1389.462600,1631,0,0
1117,1390.982040,1631,0,0
1118,1392.045260,1631,0,0
1119,1393.829040,1631,0,0
1120,1394.815540,1631,0,0
1121,1396.550340,1631,0,0
1122,1397.543440,1631,0,0
1123,1398.954340,1631,0,0
1124,1400.334960,1631,0,0
1125,1402.021880,1631,0,0
1126,1403.664360,1631,0,0
1127,1404.671160,1631,0,0
1128,1406.290800,1631,0,0
1129,1407.311660,1631,0,0
1130,1408.807280,1631,0,0
1131,1409.816260,1631,0,0
1132,1410.768240,1631,0,0
1133,1412.499180,1631,0,0
1134,1414.081400,1631,0,0
1135,1415.236140,1631,0,0
1136,1416.733620,1631,0,0
1137,1417.786680,1631,0,0
1138,1419.524520,1631,0,0
1139,1420.538860,1631,0,0
1140,1421.908760,1631,0,0
1141,1422.987440,1631,0,0
1142,1424.039260,1631,0,0
1143,1425.054200,1631,0,0
