time,distance_left,distance_right
8.3944604,976,514
8.39610272,976,514
8.39734652,976,514
8.3990663,976,514
8.4001601,976,514
8.40249994,976,514
8.40414892,898,496
8.40606976,898,496
8.40734872,898,496
8.40905204,898,496
8.41015446,898,496
8.41199764,898,496
8.41309696,773,503
8.41492114,773,503
8.41674066,773,503
8.41784784,773,503
8.41969402,773,503
8.42079732,773,503
8.4226137,773,503
8.42453218,574,490
8.42575268,574,490
8.42757636,574,490
8.4287286,574,490
8.43058632,574,490
8.43252746,574,490
8.43374126,474,467
8.43557342,474,467
8.43742594,474,467
8.43858746,474,467
8.44019146,474,467
8.4414304,474,467
8.44309238,527,472
8.44492816,527,472
8.44612598,527,472
8.44796852,527,472
8.4490871,527,472
8.45091582,527,472
8.45201384,527,472
8.45386574,605,491
8.45575598,605,491
8.45685382,605,491
8.45874126,605,491
8.45983772,605,491
8.46166834,605,491
8.46354412,660,519
8.46467396,660,519
8.46644132,660,519
8.46758334,660,519
8.469499,660,519
8.47139476,660,519
8.47253664,660,519
8.4739274,722,532
8.47507906,722,532
8.47641318,722,532
8.47759658,722,532
8.47880518,722,532
8.47995074,722,532
8.48111654,722,532
8.48241792,722,532
8.48363556,753,573
8.4847928,753,573
8.48597692,753,573
8.48713758,753,573
8.48849106,753,573
8.48967638,753,573
8.49084108,753,573
8.49202232,753,573
8.49316756,752,628
8.49450558,752,628
8.4956763,752,628
8.4968504,752,628
8.49952274,752,628
8.50066888,752,628
8.50275996,752,628
8.50454184,734,638
8.50568034,734,638
8.50753714,734,638
8.50869866,734,638
8.51049594,734,638
8.51234684,734,638
8.51347998,708,609
8.51515148,708,609
8.51641294,708,609
8.51801858,708,609
8.51914186,708,609
8.52099662,708,609
8.52284232,708,609
8.52402764,695,594
8.52586732,695,594
8.52695294,695,594
8.52884348,695,594
8.53070398,695,594
8.53188432,695,594
8.53381014,705,587
8.53553636,705,587
8.53672968,705,587
8.5386507,705,587
8.5397599,705,587
8.54155234,705,587
8.5434083,728,567
8.54459542,728,567
8.54643058,728,567
8.54754858,728,567
8.5493633,728,567
8.55104108,728,567
8.55217182,728,567
8.55400694,739,556
8.5551401,739,556
8.55704904,739,556
8.55813936,739,556
8.56001462,739,556
8.56182724,739,556
8.56294002,761,534
8.5647847,761,534
8.56587624,761,534
8.56767938,761,534
8.56963266,761,534
8.57074608,761,534
8.5725874,761,534
8.57444146,773,488
8.57559806,773,488
8.5774694,773,488
8.57863266,773,488
8.58042106,773,488
8.5815273,773,488
8.58336412,778,466
8.58502726,778,466
8.5861398,778,466
8.58790494,778,466
8.5890306,778,466
8.59092454,778,466
8.59274258,778,466
8.59385326,781,437
8.59573818,781,437
8.59689272,781,437
8.59872872,781,437
8.60051232,781,437
8.601987,781,437
8.6038384,766,423
8.60492372,766,423
8.60672718,766,423
8.60865526,766,423
8.60977114,766,423
8.61157614,766,423
8.61268532,724,433
8.61456274,724,433
8.61641436,724,433
8.61754898,724,433
8.61918482,724,433
8.62110896,724,433
8.62240974,724,433
8.6240943,720,472
8.62535658,720,472
8.62698756,720,472
8.62808158,720,472
8.62995458,720,472
8.63179456,720,472
8.6329096,752,492
8.63475168,752,492
8.63584838,752,492
8.63769232,752,492
8.63960778,752,492
8.64072548,752,492
8.64261906,752,492
8.64374774,768,519
8.64568196,768,519
8.64757434,768,519
8.64872888,768,519
8.65045016,768,519
8.65166766,768,519
8.65284002,776,515
8.65398278,776,515
8.65517056,776,515
8.65647384,776,515
8.65767922,776,515
8.65886066,776,515
8.66002912,776,515
8.66118484,776,515
8.66255164,776,515
8.66370998,763,462
8.66488366,763,462
8.66604554,763,462
8.66736734,763,462
8.66859458,763,462
8.66978342,763,462
8.67094804,763,462
8.67211472,763,462
8.67345522,739,418
8.67466766,739,418
8.67585084,739,418
8.67700818,739,418
8.67818986,739,418
8.67954028,739,418
8.68073474,739,418
8.68188206,739,418
8.68304576,711,431
8.68488114,711,431
8.68670912,711,431
8.68862716,711,431
8.68974392,711,431
8.69159976,711,431
8.6927189,713,420
8.69452334,713,420
8.69640712,713,420
8.69754942,713,420
8.69936518,713,420
8.70049622,713,420
8.70269514,715,414
8.70456376,715,414
8.70568634,715,414
8.70748844,715,414
8.70943354,715,414
8.7106975,715,414
8.71248612,715,414
8.71359716,698,446
8.71554504,698,446
8.71747126,698,446
8.7186203,698,446
8.72039208,698,446
8.72208866,698,446
8.72335796,707,478
8.72500682,707,478
8.72611348,707,478
8.72790974,707,478
8.72906564,707,478
8.73091712,707,478
8.73275424,707,478
8.7339332,729,512
8.7357726,729,512
8.73687462,729,512
8.73869052,729,512
8.7399875,729,512
8.74140874,729,512
8.74262034,729,512
8.7437774,756,512
8.7449504,756,512
8.74610248,756,512
8.74742214,756,512
8.74866262,756,512
8.74981168,756,512
8.75098998,756,512
8.7521326,756,512
8.75349084,770,460
8.7546602,770,460
8.7558386,770,460
8.75698692,770,460
8.7581502,770,460
8.75950844,770,460
8.7607587,770,460
8.7619054,770,460
8.76317326,743,367
8.76450114,743,367
8.76569158,743,367
8.76685368,743,367
8.76799738,743,367
8.769373,743,367
8.77055766,743,367
8.77173434,743,367
8.77288648,679,337
8.77405822,679,337
8.7754052,679,337
8.77662008,679,337
8.77777892,679,337
8.7797559,679,337
8.78086162,679,337
8.782686,629,356
8.7845779,629,356
8.78569514,629,356
8.78745778,629,356
8.78860176,629,356
8.79042228,629,356
8.79211952,629,356
8.79337182,622,416
8.79500478,622,416
8.79611274,622,416
8.7979759,622,416
8.7998579,622,416
8.8010033,622,416
8.80310766,652,464
8.8049238,652,464
8.80606048,652,464
8.80791032,652,464
8.80906664,652,464
8.81091742,652,464
8.81201176,652,464
8.81383168,684,505
8.8156517,684,505
8.8167485,684,505
8.81862642,684,505
8.81973774,684,505
8.8216821,684,505
8.82360664,717,525
8.82472844,717,525
8.82648446,717,525
8.82760284,717,525
8.82946062,717,525
8.83118022,717,525
8.83257958,717,525
8.83435732,750,501
8.8354737,750,501
8.83718066,750,501
8.83899004,750,501
8.84008134,750,501
8.84190514,750,501
8.8430234,767,438
8.84492348,767,438
8.84681202,767,438
8.84790034,767,438
8.84977362,767,438
8.85087772,767,438
8.85270746,776,407
8.85453812,776,407
8.85574712,776,407
8.85765088,776,407
8.85878864,776,407
8.86064568,776,407
8.86251982,776,407
8.86362888,763,357
8.86540598,763,357
8.86653918,763,357
8.86819078,763,357
8.87007262,763,357
8.8713451,763,357
8.87302544,763,357
8.87418436,722,315
8.87602716,722,315
8.87784016,722,315
8.87898268,722,315
8.88081252,722,315
8.8819045,722,315
8.8837567,668,345
8.88549438,668,345
8.88666318,668,345
8.88857262,668,345
8.88968442,668,345
8.89145126,668,345
8.8925932,668,345
8.894428,658,411
8.89610972,658,411
