Sample,X(ms) [16.06.2017 16:26:20 534 UTC],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0],"M_crank_angle"[%MD72],"M_crank_angular_velocity"[%MD80]
4559,6219.247400,0,0,54.5589942932129,24.7138977050781
4560,6221.171100,0,0,54.5589942932129,24.7138977050781
4561,6222.306000,0,0,54.5799369812012,24.7138977050781
4562,6224.157240,0,0,54.6008796691895,24.7138977050781
4563,6226.077660,0,0,54.6008796691895,24.7138977050781
4564,6227.225560,0,0,54.621826171875,24.7138977050781
4565,6229.166300,0,0,54.621826171875,24.7138977050781
4566,6230.330380,0,0,54.621826171875,24.7138977050781
4567,6232.141580,0,0,54.6427688598633,24.7138977050781
4568,6234.050900,0,0,54.6427688598633,24.7138977050781
4569,6235.181020,0,0,54.6637115478516,24.7138977050781
4570,6236.951800,0,0,54.6637115478516,24.7138977050781
4571,6238.108580,0,0,54.6637115478516,24.7138977050781
4572,6239.963780,0,0,54.6846542358398,24.7138977050781
4573,6241.642260,0,0,54.6846542358398,24.7138977050781
4574,6243.059920,0,0,54.6846542358398,8.79638671875
4575,6244.686380,0,0,54.7056045532227,8.79638671875
4576,6245.956660,0,0,54.7056045532227,8.79638671875
4577,6247.666740,0,0,54.7056045532227,8.79638671875
4578,6249.490100,0,0,54.7265472412109,8.79638671875
4579,6250.608260,0,0,54.7265472412109,8.79638671875
4580,6252.418240,0,0,54.7265472412109,8.79638671875
4581,6253.605860,0,0,54.7265472412109,8.79638671875
4582,6255.468740,0,0,54.7474899291992,8.79638671875
4583,6257.309160,0,0,54.7474899291992,8.79638671875
4584,6258.455000,0,0,54.7474899291992,8.79638671875
4585,6260.321920,0,0,54.7474899291992,8.79638671875
4586,6261.416840,0,0,54.7474899291992,8.79638671875
4587,6263.289460,0,0,54.7684288024902,8.79638671875
4588,6265.094920,0,0,54.7684288024902,8.79638671875
4589,6266.231140,0,0,54.7684288024902,8.79638671875
4590,6268.107420,0,0,54.7684288024902,8.79638671875
4591,6269.242300,0,0,54.7684288024902,8.79638671875
4592,6271.026440,0,0,54.7684288024902,8.79638671875
4593,6272.936060,0,0,54.7684288024902,8.79638671875
4594,6274.162660,0,0,54.789379119873,8.79638671875
4595,6275.974680,0,0,54.789379119873,8.79638671875
4596,6277.096200,0,0,54.789379119873,8.79638671875
4597,6278.921780,0,0,54.789379119873,8.79638671875
4598,6280.298600,0,0,54.789379119873,8.79638671875
4599,6281.468240,0,0,54.789379119873,8.79638671875
4600,6282.652440,0,0,54.789379119873,8.79638671875
4601,6283.987540,0,0,54.789379119873,8.79638671875
4602,6285.179600,0,0,54.789379119873,8.79638671875
4603,6286.348220,0,0,54.789379119873,8.79638671875
4604,6287.509760,0,0,54.789379119873,8.79638671875
4605,6288.887520,0,0,54.789379119873,8.79638671875
4606,6290.064960,0,0,54.789379119873,8.79638671875
4607,6291.289000,0,0,54.789379119873,8.79638671875
4608,6292.645720,0,0,54.789379119873,2.09449768066406
4609,6294.024760,0,0,54.8103218078613,2.09449768066406
4610,6295.258760,0,0,54.8103218078613,2.09449768066406
4611,6296.443820,0,0,54.8103218078613,2.09449768066406
4612,6297.606340,0,0,54.8103218078613,2.09449768066406
4613,6298.989360,0,0,54.8103218078613,2.09449768066406
4614,6300.152760,0,0,54.8103218078613,2.09449768066406
4615,6301.338640,0,0,54.8103218078613,2.09449768066406
4616,6302.510120,0,0,54.8103218078613,2.09449768066406
4617,6303.862740,0,0,54.8103218078613,2.09449768066406
4618,6305.087660,0,0,54.8103218078613,2.09449768066406
4619,6306.282340,0,0,54.8103218078613,2.09449768066406
4620,6307.450120,0,0,54.8103218078613,2.09449768066406
4621,6308.666120,0,0,54.8103218078613,2.09449768066406
4622,6309.997780,0,0,54.8103218078613,2.09449768066406
4623,6311.193460,0,0,54.8103218078613,2.09449768066406
4624,6312.353920,0,0,54.8103218078613,2.09449768066406
4625,6313.539100,0,0,54.8103218078613,2.09449768066406
4626,6314.878540,0,0,54.8103218078613,2.09449768066406
4627,6316.070740,0,0,54.8103218078613,2.09449768066406
4628,6317.275780,0,0,54.8103218078613,2.09449768066406
4629,6318.469680,0,0,54.8103218078613,2.09449768066406
4630,6319.662040,0,0,54.8103218078613,2.09449768066406
4631,6320.968620,0,0,54.8103218078613,2.09449768066406
4632,6322.186240,0,0,54.789379119873,2.09449768066406
4633,6323.354360,0,0,54.789379119873,2.09449768066406
4634,6324.551640,0,0,54.789379119873,2.09449768066406
4635,6325.858240,0,0,54.789379119873,2.09449768066406
4636,6327.070020,0,0,54.789379119873,2.09449768066406
4637,6328.540180,0,0,54.789379119873,2.09449768066406
4638,6330.016020,0,0,54.789379119873,2.09449768066406
4639,6331.231280,0,0,54.789379119873,2.09449768066406
4640,6332.417800,0,0,54.789379119873,2.09449768066406
4641,6333.598660,0,0,54.789379119873,2.09449768066406
4642,6335.253120,0,0,54.789379119873,2.09449768066406
4643,6336.425460,0,0,54.789379119873,2.09449768066406
4644,6337.618280,0,0,54.789379119873,2.09449768066406
4645,6338.981140,0,0,54.789379119873,2.09449768066406
4646,6340.190760,0,0,54.789379119873,2.09449768066406
4647,6341.356860,0,0,54.789379119873,2.09449768066406
4648,6342.662280,0,0,54.789379119873,0
4649,6343.994880,0,0,54.789379119873,0
4650,6345.221760,0,0,54.789379119873,0
4651,6346.397380,0,0,54.789379119873,0
4652,6347.582000,0,0,54.789379119873,0
4653,6348.919540,0,0,54.789379119873,0
4654,6350.117420,0,0,54.789379119873,0
4655,6351.291680,0,0,54.789379119873,0
4656,6352.470480,0,0,54.789379119873,0
4657,6353.648340,0,0,54.789379119873,0
4658,6355.005660,0,0,54.789379119873,0
